m,L,mode,m0,m1,n_sim,mus_generation_time,single_data_gen_time,z_test_time,bonferroni_time,hochberg_time,fdr_time,full_loop_time,avg_single_sim_time,estimated_20k_time
32,5,E,16,16,500,5.7220458984375e-06,9.298324584960938e-06,2.6941299438476562e-05,9.5367431640625e-07,6.9141387939453125e-06,6.198883056640625e-06,0.013292074203491211,2.658414840698242e-05,0.5316829681396484
32,5,I,16,16,500,7.152557373046875e-06,6.9141387939453125e-06,2.6941299438476562e-05,0.0,7.152557373046875e-06,6.9141387939453125e-06,0.013699054718017578,2.7398109436035155e-05,0.5479621887207031
32,8,D,16,16,500,6.9141387939453125e-06,7.152557373046875e-06,3.409385681152344e-05,7.152557373046875e-07,8.344650268554688e-06,8.821487426757812e-06,0.013514041900634766,2.7028083801269532e-05,0.5405616760253906
32,8,E,16,16,500,5.7220458984375e-06,9.059906005859375e-06,3.314018249511719e-05,9.5367431640625e-07,6.198883056640625e-06,6.9141387939453125e-06,0.013220787048339844,2.6441574096679687e-05,0.5288314819335938
32,8,I,16,16,500,8.106231689453125e-06,6.9141387939453125e-06,4.1961669921875e-05,9.5367431640625e-07,6.9141387939453125e-06,7.152557373046875e-06,0.013412952423095703,2.6825904846191408e-05,0.5365180969238281
32,10,D,16,16,500,6.9141387939453125e-06,9.059906005859375e-06,2.6226043701171875e-05,9.5367431640625e-07,5.9604644775390625e-06,7.152557373046875e-06,0.013538599014282227,2.707719802856445e-05,0.5415439605712891
32,10,E,16,16,500,5.245208740234375e-06,6.9141387939453125e-06,2.8848648071289062e-05,9.5367431640625e-07,6.198883056640625e-06,6.9141387939453125e-06,0.013073205947875977,2.6146411895751952e-05,0.5229282379150391
32,10,I,16,16,500,7.152557373046875e-06,6.9141387939453125e-06,3.0994415283203125e-05,9.5367431640625e-07,6.9141387939453125e-06,9.298324584960938e-06,0.01351785659790039,2.703571319580078e-05,0.5407142639160156
32,15,D,16,16,500,6.9141387939453125e-06,7.152557373046875e-06,2.9087066650390625e-05,9.5367431640625e-07,5.9604644775390625e-06,6.198883056640625e-06,0.013348817825317383,2.6697635650634764e-05,0.5339527130126953
32,15,E,16,16,500,1.6927719116210938e-05,9.298324584960938e-06,2.8848648071289062e-05,9.5367431640625e-07,6.9141387939453125e-06,9.059906005859375e-06,0.013161897659301758,2.6323795318603515e-05,0.5264759063720703
32,15,I,16,16,500,9.059906005859375e-06,7.867813110351562e-06,2.9325485229492188e-05,0.0,7.152557373046875e-06,9.059906005859375e-06,0.013565778732299805,2.713155746459961e-05,0.5426311492919922
64,5,D,32,32,500,9.059906005859375e-06,6.9141387939453125e-06,3.2901763916015625e-05,0.0,1.0013580322265625e-05,9.059906005859375e-06,0.013456106185913086,2.6912212371826172e-05,0.5382442474365234
64,5,E,32,32,500,6.198883056640625e-06,6.9141387939453125e-06,2.4080276489257812e-05,0.0,9.059906005859375e-06,9.059906005859375e-06,0.013990163803100586,2.7980327606201173e-05,0.5596065521240234
64,5,I,32,32,500,8.106231689453125e-06,7.867813110351562e-06,2.7179718017578125e-05,9.5367431640625e-07,8.821487426757812e-06,1.2159347534179688e-05,0.013774871826171875,2.754974365234375e-05,0.550994873046875
64,8,D,32,32,500,7.3909759521484375e-06,6.9141387939453125e-06,2.6941299438476562e-05,9.5367431640625e-07,8.821487426757812e-06,1.0251998901367188e-05,0.013523101806640625,2.704620361328125e-05,0.540924072265625
64,8,E,32,32,500,5.9604644775390625e-06,8.106231689453125e-06,2.8848648071289062e-05,1.1920928955078125e-06,7.867813110351562e-06,1.0013580322265625e-05,0.013859033584594727,2.7718067169189452e-05,0.5543613433837891
64,8,I,32,32,500,6.9141387939453125e-06,7.152557373046875e-06,2.7894973754882812e-05,0.0,8.106231689453125e-06,1.1920928955078125e-05,0.01380014419555664,2.760028839111328e-05,0.5520057678222656
64,10,D,32,32,500,7.867813110351562e-06,8.821487426757812e-06,3.0279159545898438e-05,0.0,9.059906005859375e-06,1.0967254638671875e-05,0.013726949691772461,2.7453899383544923e-05,0.5490779876708984
64,10,E,32,32,500,1.7881393432617188e-05,1.621246337890625e-05,2.8848648071289062e-05,9.5367431640625e-07,1.0013580322265625e-05,1.4066696166992188e-05,0.013716936111450195,2.743387222290039e-05,0.5486774444580078
64,10,I,32,32,500,8.344650268554688e-06,5.7220458984375e-06,2.4080276489257812e-05,1.1920928955078125e-06,8.821487426757812e-06,1.3113021850585938e-05,0.013831853866577148,2.7663707733154297e-05,0.5532741546630859
64,15,D,32,32,500,6.9141387939453125e-06,6.9141387939453125e-06,3.1948089599609375e-05,9.5367431640625e-07,9.059906005859375e-06,1.2874603271484375e-05,0.013510942459106445,2.702188491821289e-05,0.5404376983642578
64,15,E,32,32,500,6.9141387939453125e-06,1.0013580322265625e-05,2.6226043701171875e-05,9.5367431640625e-07,8.821487426757812e-06,1.3113021850585938e-05,0.013987064361572266,2.797412872314453e-05,0.5594825744628906
64,15,I,32,32,500,9.059906005859375e-06,8.821487426757812e-06,2.6226043701171875e-05,9.5367431640625e-07,6.9141387939453125e-06,1.3113021850585938e-05,0.013782024383544922,2.7564048767089843e-05,0.5512809753417969
